sentence,label
"The successful renegotiation of our primary raw material supply agreements is expected to reduce input costs by approximately $90 million on an annualised basis.",Positive
"Our intellectual property portfolio expanded by 340 granted patents during the year, reinforcing our competitive position and supporting future licensing revenue.",Positive
"We launched our ESG-linked financing framework, successfully placing $1.5 billion in sustainability-linked bonds at pricing that reflected strong institutional investor demand.",Positive
"Customer churn declined to 3.2% annually, the lowest rate in the company's history, driven by product improvements and enhanced customer success programmes.",Positive
"Our workforce development initiatives resulted in 78% of open senior positions being filled through internal promotions, reducing external hiring costs and preserving institutional knowledge.",Positive
"The commissioning of our new manufacturing facility added 40% to our production capacity, positioning the company to meet growing customer demand without capacity constraints.",Positive
"Our financial controls and compliance programmes were assessed by external auditors with no material weaknesses identified, reflecting the strength of our governance framework.",Positive
"We achieved a record-high net revenue retention rate of 118%, demonstrating that existing customers are consistently expanding their usage of our platform.",Positive
"Our healthcare division delivered its sixth consecutive year of double-digit revenue growth, driven by an ageing population and continued investment in clinical capabilities.",Positive
"Working capital efficiency improved meaningfully, with days sales outstanding declining by 8 days compared to the prior year, reflecting improved collections processes.",Positive
"Our market leadership position strengthened during the year, with third-party data confirming an increase in market share across all of our core geographies.",Positive
"Strong demand from infrastructure spending programmes contributed to a 28% increase in our order book, providing confidence in our near-term revenue trajectory.",Positive
"Our cloud migration was completed on time and within budget, delivering estimated annual savings of $120 million and materially improving system reliability.",Positive
"We successfully concluded our three-year strategic plan with all five financial targets either met or exceeded, reflecting disciplined execution across the enterprise.",Positive
"The dividend coverage ratio improved to 3.4 times, reflecting the strength of our underlying cash generation and providing ample headroom above our target range.",Positive
"Our credit loss experience remained significantly below historical averages, reflecting disciplined underwriting standards and the high credit quality of our customer base.",Positive
"Adjusted return on invested capital reached 14.2%, our highest level in five years and above our weighted average cost of capital by a substantial margin.",Positive
"Our workforce grew by 3,200 net new employees during the year as we scaled our operations to meet increased customer demand across our principal business segments.",Positive
"The acceleration of digital sales channels contributed to a 47% increase in online revenue, which now represents our fastest-growing route to market.",Positive
"Our pricing power was evident during the year as we successfully implemented increases averaging 6% across our major product categories with minimal volume impact.",Positive
"We maintained an investment grade credit profile throughout the year and were upgraded by one major rating agency in recognition of our improved financial metrics.",Positive
"Our operations in emerging markets grew at 2.3 times the rate of our mature market operations, reflecting the significant runway for growth in these geographies.",Positive
"The launch of our enterprise offering was highly successful, adding 340 enterprise customers during the year at average contract values 4.2 times higher than our SME segment.",Positive
"Our clinical trial results reported during the year demonstrated statistically significant efficacy outcomes, supporting our regulatory submissions across three major markets.",Positive
"Net interest margin expanded by 22 basis points during the year, reflecting disciplined asset pricing and a favourable shift in our funding mix.",Positive
"Our operating model delivered positive operating leverage for the fourth consecutive year, with operating expenses growing at approximately half the rate of revenues.",Positive
"We received an unqualified audit opinion from our independent auditors, reflecting the accuracy and completeness of our financial reporting.",Positive
"Our customer satisfaction survey results placed us first among our primary competitors for the second consecutive year across all major service dimensions.",Positive
"The performance of our investment portfolio exceeded our benchmark return by 180 basis points, reflecting effective asset allocation and manager selection.",Positive
"Our supply chain financing programme generated $240 million in incremental cash flow during the year by extending payment terms with participating suppliers.",Positive
"We grew our network of distribution partners by 18% during the year, broadening our geographic reach and reducing customer acquisition costs in new markets.",Positive
"Our loan-to-deposit ratio remained within our target range throughout the year, reflecting balanced growth in both our asset and liability portfolios.",Positive
"The company maintained its position as the leading provider in its primary market for the fourteenth consecutive year, as measured by independent market research.",Positive
"Our innovation index, measured as the proportion of revenue from products introduced in the past three years, reached 41%, above our long-term target of 35%.",Positive
"We completed our share buyback programme of $1.8 billion, reducing our share count by 4.2% and providing meaningful accretion to earnings per share.",Positive
"Our energy efficiency initiatives resulted in a 16% reduction in energy consumption per unit of output, reducing both our carbon footprint and our operating costs.",Positive
"Customer acquisition costs declined 14% year-over-year due to improved digital marketing effectiveness and stronger word-of-mouth referral activity.",Positive
"Our pharmaceutical manufacturing sites achieved full GMP compliance certification across all facilities following targeted investment in quality systems.",Positive
"The performance of our newly acquired businesses exceeded our acquisition models, reflecting stronger-than-expected revenue synergies and disciplined cost management.",Positive
"Our net asset value per share increased by 22% during the year, reflecting strong portfolio performance and effective capital allocation by the investment team.",Positive
"We reduced our environmental remediation liabilities by $180 million following the successful completion of site restoration activities at two legacy manufacturing locations.",Positive
"Our operating segments all delivered positive operating income during the year for the first time in three years, reflecting the successful execution of our turnaround programme.",Positive
"A prolonged decline in commodity prices has materially reduced revenue in our upstream operations and adversely affected our ability to sustain planned capital expenditure.",Negative
"We recognised an impairment charge of $1.4 billion in relation to our retail segment, reflecting deteriorating trading conditions and a reduction in our long-term revenue projections.",Negative
"Our liquidity position deteriorated significantly during the year as operating cash outflows exceeded our available credit facilities, raising concerns about our near-term funding position.",Negative
"We face substantial uncertainty regarding our ability to continue as a going concern if current market conditions persist beyond the next twelve months.",Negative
"The ongoing investigation by the Department of Justice into our pricing practices creates significant legal and reputational risk that could materially affect our business.",Negative
"Our cost structure has proven insufficiently flexible in the face of rapid volume declines, and our ability to return to profitability remains dependent on market recovery.",Negative
"We recorded a net loss attributable to common shareholders of $890 million for the fiscal year, compared to net income of $340 million in the prior year.",Negative
"Our leverage ratio increased to 6.2 times adjusted EBITDA following our most recent acquisition, significantly exceeding our long-term target of below 3.5 times.",Negative
"The accelerating shift to digital channels has eroded our traditional retail partnerships, and we have not yet established sufficient scale in direct-to-consumer sales to compensate.",Negative
"Significant supply chain disruptions during the year resulted in production stoppages across three of our major manufacturing facilities, adversely affecting our revenue and margins.",Negative
"We have received a formal notice of default from our lending syndicate following our failure to satisfy a financial covenant under our senior credit agreement.",Negative
"Our ability to attract and retain qualified personnel has been adversely affected by intense competition for talent and our inability to offer compensation packages comparable to larger peers.",Negative
"The loss of our largest customer, which represented approximately 23% of total revenues, will have a material adverse effect on our financial results in the coming fiscal year.",Negative
"Persistent inflation in raw material and energy costs has compressed our gross margins to levels that we do not believe are sustainable without corresponding price increases.",Negative
"Our product recall, which affected approximately 2.1 million units, will result in estimated costs of $340 million and has damaged consumer confidence in our brand.",Negative
"We have been unable to refinance our revolving credit facility on acceptable terms, and the current facility is scheduled to mature in nine months.",Negative
"Our pension deficit widened by $620 million during the year due to adverse movements in discount rates and underperformance of the plan's investment portfolio.",Negative
"The recent entry of well-capitalised competitors into our core market has intensified pricing pressure and resulted in an accelerating decline in our market share.",Negative
"We expect to incur significant restructuring charges in the coming fiscal year as we undertake the closure of four manufacturing facilities and a reduction in our global workforce.",Negative
"Our receivables ageing has deteriorated significantly, with overdue receivables now representing 34% of total trade debtors compared to 19% in the prior fiscal year.",Negative
"A class action lawsuit alleging misrepresentation in our financial disclosures was certified during the year, creating a contingent liability that management cannot currently quantify.",Negative
"Our key patent expired during the fiscal year, exposing our most profitable product to generic competition and likely resulting in substantial revenue decline.",Negative
"Unfavourable foreign exchange movements reduced reported revenue by approximately $480 million and operating income by $130 million compared to the prior fiscal year.",Negative
"The deterioration in our credit rating to below investment grade has increased our borrowing costs and restricted our access to certain capital markets.",Negative
"We have been unable to achieve the revenue synergies projected at the time of our most recent acquisition, and the business is performing materially below our original expectations.",Negative
"Our working capital position has been adversely affected by the build-up of excess inventory following demand shortfalls in our principal end markets.",Negative
"We face the risk of significant fines and remediation costs following an environmental enforcement action initiated by regulatory authorities at our principal manufacturing site.",Negative
"The rapid deterioration in our operating performance has resulted in a covenant breach under our primary lending facility, and we are currently in waiver negotiations with our lenders.",Negative
"Our cybersecurity incident disclosed in the third quarter resulted in the unauthorised access of customer data affecting approximately 4.3 million accounts, exposing us to substantial legal liability.",Negative
"We expect that the impact of the adverse regulatory ruling will reduce our revenue in affected markets by approximately 30% over the next three to five years.",Negative
"Our capital expenditure programme has been significantly curtailed due to cash flow constraints, raising concerns about our ability to maintain the competitiveness of our asset base.",Negative
"The significant decline in our share price has resulted in a substantial impairment to the carrying value of goodwill, requiring recognition of a non-cash charge of $2.1 billion.",Negative
"We have identified material weaknesses in our internal controls over financial reporting, and we cannot provide assurance that our financial statements are free from material misstatement.",Negative
"Our insurance claims experience deteriorated materially during the year, resulting in higher-than-expected loss ratios and a significant reduction in underwriting profitability.",Negative
"We are unable to predict the ultimate outcome of the regulatory review currently underway in three of our principal markets, and the associated costs and penalties remain uncertain.",Negative
"Our debt maturity profile is heavily concentrated in the next 24 months, and our ability to refinance on acceptable terms is subject to significant uncertainty given current market conditions.",Negative
"The combination of declining revenues and rising fixed costs has resulted in a deterioration of our operating leverage profile and a significant reduction in our earnings quality.",Negative
"We have suspended dividend payments indefinitely to preserve liquidity as we address the operational and financial challenges currently facing the business.",Negative
"Our net interest margin contracted by 38 basis points during the year, reflecting a challenging rate environment and increased funding costs that we were unable to fully pass through.",Negative
"We identified instances of non-compliance with applicable anti-money laundering regulations and have been required to implement a monitorship overseen by an independent third party.",Negative
"Our customer attrition rate increased to 28% on an annualised basis, well above our historical average, reflecting increased competitive intensity and service quality issues.",Negative
"The failure of our strategic transformation programme to deliver targeted efficiencies has resulted in a significant shortfall relative to our publicly communicated financial targets.",Negative
"We face potential debarment from government contracting following the determination by the relevant authority that certain prior contract submissions were inaccurate.",Negative
"Our tax position is subject to material uncertainty following a reassessment by the relevant authority that could result in additional tax liabilities of up to $450 million.",Negative
"The withdrawal of our largest institutional investor from our primary fund has reduced assets under management by 18%, materially affecting our management fee revenue.",Negative
"Our clinical trial failed to meet its primary endpoint, resulting in the write-down of $280 million of capitalised development costs and the suspension of our regulatory submission.",Negative
"Significant delays in our infrastructure development programme have resulted in cost overruns of approximately $1.2 billion and a deferral of expected revenue by two years.",Negative
"Our inability to access rare earth materials at commercially viable prices has created a critical bottleneck in our production process and threatens our ability to fulfil customer orders.",Negative
"We have been required to restate our financial results for the prior three fiscal years following the identification of errors in the recognition of revenue from long-term contracts.",Negative
"Our exposure to sovereign debt of certain European countries has resulted in unrealised losses of $340 million, which may be realised if market conditions deteriorate further.",Negative
"The accelerated pace of technological change in our industry has rendered certain of our core products obsolete at a rate faster than anticipated in our prior business planning.",Negative
"We expect to record a significant impairment of our investment in our equity-accounted associate following a deterioration in its operating performance and financial position.",Negative
"Our compliance with certain environmental regulations will require capital expenditure of approximately $600 million over the next five years, which will adversely affect our free cash flow.",Negative
"The loss of key regulatory approvals in our pharmaceutical segment has substantially reduced our addressable market and will have a material impact on our medium-term revenue trajectory.",Negative
"Our fraud detection systems failed to identify a systematic pattern of transaction manipulation, resulting in estimated losses of $180 million before the issue was identified and addressed.",Negative
"We have been unable to obtain planning permission for our proposed capacity expansion, which is expected to limit our revenue growth to below market growth rates for the foreseeable future.",Negative
"Our exposure to floating rate debt means that the 300 basis point increase in benchmark rates experienced during the year has materially increased our annual interest expense.",Negative
"The adverse court ruling in our primary patent litigation case has exposed our lead product to competitive challenge and will likely result in significant revenue erosion.",Negative
"Our asset-backed securities portfolio experienced significant losses during the period as rising interest rates and widening credit spreads reduced valuations across the portfolio.",Negative
"We have disclosed a significant deficiency in our IT security controls, and remediation is expected to require investment of approximately $45 million over the next 18 months.",Negative
"The rapid deterioration in our counterparty's financial position has resulted in the recognition of a credit impairment of $290 million on our outstanding loan exposure.",Negative
"Our inability to achieve planned cost reductions has resulted in a cash burn rate that, if sustained, would exhaust our available liquidity within approximately 14 months.",Negative
"We face substantial uncertainty regarding the enforceability of certain contractual arrangements that underpin approximately 12% of our annual revenue.",Negative
"Our workforce reduction programme, which will affect approximately 4,800 employees, has resulted in significant operational disruption and a deterioration in employee morale.",Negative
"The failure to renew our primary licensing agreement, which expires in eight months, would result in the loss of approximately $340 million of annual revenue.",Negative
"Our depositor base became increasingly concentrated during the year, and the withdrawal of a small number of large institutional depositors could place significant pressure on our liquidity.",Negative
"We have been required by our primary regulator to hold additional capital as a buffer against stressed scenarios, which reduces the capital available for deployment in our core business.",Negative
"Our credit card receivables portfolio experienced a significant deterioration in delinquency rates during the second half of the year, requiring a material increase in our loan loss provisions.",Negative
"The loss of our operational licence in our second-largest market is expected to reduce annualised revenue by approximately $220 million and will require a strategic reassessment of our geographic footprint.",Negative
"Our ongoing dispute with a major technology partner has resulted in access restrictions to certain critical software platforms, adversely affecting our operational efficiency.",Negative
"We have identified a significant concentration of credit risk in our loan portfolio, with our ten largest borrowers accounting for 42% of total loans outstanding.",Negative
"The economic recession in our primary markets resulted in a 19% decline in consumer discretionary spending, adversely affecting volumes across our retail and hospitality operations.",Negative
"We received a cease and desist order from the relevant regulatory authority requiring us to suspend marketing activities for our primary consumer product pending investigation.",Negative
"Our offshore drilling operations were suspended following a significant incident that resulted in material equipment damage and is the subject of an ongoing regulatory investigation.",Negative
"We have been unable to source sufficient semiconductor components to meet customer demand, resulting in an estimated revenue shortfall of $890 million during the fiscal year.",Negative
"The bankruptcy of a major distributor has resulted in the write-off of $140 million of trade receivables and has materially disrupted our route-to-market in several key territories.",Negative
"Our legacy pension obligations have grown to represent 2.3 times our market capitalisation, creating a material financial overhang that limits our strategic flexibility.",Negative
"The completion of our strategic review resulted in the decision to exit three non-core business segments, resulting in significant disposal losses and restructuring charges.",Negative
"Our cybersecurity defences were insufficient to prevent a ransomware attack that caused approximately two weeks of operational disruption across our principal data centres.",Negative
"We are subject to significant uncertainty regarding the potential financial impact of proposed legislative changes to the regulation of our industry in several key markets.",Negative
"Our net revenue retention rate declined to 84%, indicating that customer contractions and cancellations are outpacing expansion within our installed base.",Negative
"We have recognised a deferred tax asset impairment of $320 million following a reassessment of the likelihood of generating sufficient future taxable income.",Negative
"The cumulative effect of four consecutive years of underperformance relative to our strategic targets has resulted in a significant erosion of shareholder confidence.",Negative
"Our agricultural commodity price exposure has been adversely affected by drought conditions in key growing regions, resulting in higher input costs and lower yields.",Negative
"We do not currently have sufficient liquidity to fund both our operational requirements and our near-term debt service obligations without raising additional capital.",Negative
"The failure of our new enterprise resource planning system implementation has resulted in significant operational disruptions and estimated costs of $180 million to remediate.",Negative
"Our real estate portfolio has experienced significant valuation declines, resulting in mark-to-market losses of $540 million and a reduction in our tangible book value.",Negative
"We have been informed that our primary reinsurance counterparty is under financial stress, which may impair our ability to recover claims under our existing reinsurance programme.",Negative
"Our defined benefit pension plan is significantly underfunded, and the required contributions over the next five years will materially reduce our available free cash flow.",Negative
"We operate in four reportable business segments: consumer products, industrial solutions, financial services, and technology services.",Neutral
"The Company was incorporated in the State of Delaware in 1987 and completed its initial public offering in 1994.",Neutral
"Our fiscal year ends on the last Saturday of December, which results in a 52-week or 53-week fiscal year.",Neutral
"We file annual, quarterly, and current reports, proxy statements, and other information with the SEC.",Neutral
"Goodwill is tested for impairment at the reporting unit level on an annual basis, or more frequently if events or changes in circumstances indicate that the carrying amount may be impaired.",Neutral
"The consolidated financial statements have been prepared in accordance with accounting principles generally accepted in the United States of America.",Neutral
"We operate in approximately 62 countries and employ approximately 87,000 people worldwide as of the end of the fiscal year.",Neutral
"Property, plant, and equipment are stated at cost, net of accumulated depreciation and any accumulated impairment losses.",Neutral
"Our products are sold through a combination of direct sales, distributor networks, and e-commerce platforms.",Neutral
"Revenue is recognised when control of the promised goods or services is transferred to the customer in an amount that reflects the consideration we expect to receive.",Neutral
"The Company's common stock is listed on the New York Stock Exchange under the ticker symbol shown on the cover page of this Annual Report.",Neutral
"Depreciation is calculated using the straight-line method over the estimated useful lives of the assets.",Neutral
"We maintain a self-insured retention layer for certain categories of property and casualty risk and purchase commercial insurance above those retention levels.",Neutral
"Our reportable segments are consistent with the manner in which our chief operating decision maker evaluates the performance of the business.",Neutral
"Foreign currency transactions are recorded at the rate of exchange prevailing at the date of the transaction.",Neutral
"We lease office space, manufacturing facilities, and warehouse space under operating leases with remaining terms of between one and fifteen years.",Neutral
"The Company's Board of Directors consists of eleven members, nine of whom are considered independent under applicable NYSE listing standards.",Neutral
"Inventories are valued at the lower of cost or net realisable value, with cost determined using the first-in, first-out method.",Neutral
"Our products are subject to regulation by the Food and Drug Administration in the United States and by equivalent regulatory authorities in other jurisdictions.",Neutral
"We define Adjusted EBITDA as earnings before interest, taxes, depreciation, and amortisation, further adjusted to exclude certain non-recurring items.",Neutral
"The annual report contains forward-looking statements within the meaning of Section 27A of the Securities Act of 1933 and Section 21E of the Securities Exchange Act of 1934.",Neutral
"Interest expense is accrued on a daily basis and recorded in the consolidated statements of operations.",Neutral
"Our trade receivables are reported net of an allowance for doubtful accounts, which is estimated based on historical collection experience and current economic conditions.",Neutral
"We adopted ASC 842, the new lease accounting standard, on the first day of our current fiscal year using the modified retrospective transition approach.",Neutral
"The fair values of our interest rate swap agreements are determined using a discounted cash flow model based on observable market interest rate curves.",Neutral
"We have approximately 340 patent applications pending and 1,200 granted patents across our major product families.",Neutral
"Compensation expense for share-based awards is measured at fair value on the grant date and recognised over the requisite service period.",Neutral
"Our principal raw material inputs include steel, aluminium, copper, and various petroleum-derived resins.",Neutral
"The carrying amounts of cash and cash equivalents, trade receivables, and trade payables approximate their fair values due to their short maturities.",Neutral
"We have not paid cash dividends on our common stock for the past three fiscal years.",Neutral
"Our audit committee is responsible for oversight of the independent external auditor and for reviewing the adequacy of our internal controls over financial reporting.",Neutral
"The Company's senior management team has an average tenure of approximately eleven years.",Neutral
"We present certain financial measures in this annual report that are not prepared in accordance with GAAP.",Neutral
"Our environmental compliance programmes are managed by a dedicated team within our corporate sustainability function.",Neutral
"Intangible assets with finite useful lives are amortised over their estimated useful lives on a straight-line basis.",Neutral
"Our principal banking relationships include arrangements with twelve financial institutions across eight countries.",Neutral
"We have approximately 2,400 retail locations, of which approximately 1,800 are operated directly and the remainder through franchise arrangements.",Neutral
"The preparation of financial statements requires management to make estimates and assumptions that affect the amounts reported.",Neutral
"Our information technology systems support our operational and financial reporting processes across all geographic segments.",Neutral
"We define capital expenditure as purchases of property, plant, and equipment, net of proceeds from disposals.",Neutral
"The goodwill balance at year end primarily relates to acquisitions completed between 2014 and 2022.",Neutral
"Our employee benefit plans include defined contribution plans in most jurisdictions and defined benefit plans in certain legacy operations.",Neutral
"The Company's principal executive offices are located in Chicago, Illinois.",Neutral
"We account for acquisitions using the acquisition method as required by ASC 805, Business Combinations.",Neutral
"Our credit facilities include both secured and unsecured arrangements with a syndicate of domestic and international financial institutions.",Neutral
"Management reviews the performance of each operating segment based on segment revenue and segment operating income.",Neutral
"We maintain a system of internal controls over financial reporting designed to provide reasonable assurance regarding the reliability of our financial reporting.",Neutral
"The effective tax rate for the fiscal year was 21.4%, compared to 23.1% in the prior fiscal year.",Neutral
"Our transfer pricing arrangements between related entities in different tax jurisdictions are documented and reviewed on an annual basis.",Neutral
"We have contractual purchase obligations with certain suppliers totalling approximately $3.4 billion over the next five years.",Neutral
"Deferred tax assets and liabilities are recognised for temporary differences between the tax and accounting bases of assets and liabilities.",Neutral
"Our sales are denominated principally in US dollars, euros, British pounds, and Japanese yen.",Neutral
"The consolidated statements of cash flows have been prepared using the indirect method.",Neutral
"We conduct our operations through wholly-owned subsidiaries, joint ventures, and equity-method investees in various jurisdictions.",Neutral
"Our manufacturing facilities operate under various quality certifications including ISO 9001 and ISO 14001.",Neutral
"The Company has three classes of authorised capital: common stock, preferred stock, and Class B common stock.",Neutral
"We recognise revenue from professional services over the period during which the services are performed.",Neutral
"Our internal audit function evaluates the effectiveness of our risk management, control, and governance processes on a continuous basis.",Neutral
"The weighted average number of diluted shares outstanding was 428.3 million for the fiscal year.",Neutral
"We classify cash flows from hedging instruments in the same category as the cash flows from the hedged item.",Neutral
"Our primary market risk exposures are interest rate risk, foreign currency risk, and commodity price risk.",Neutral
"The Board's Compensation Committee is responsible for setting the compensation of the chief executive officer and other senior executives.",Neutral
"We determine the fair value of our Level 3 financial instruments using internally developed valuation models.",Neutral
"Our supply agreements with key customers typically have terms of between one and three years and may include minimum purchase commitments.",Neutral
"The Company participates in multi-employer pension plans in certain jurisdictions in which we operate.",Neutral
"Our digital platforms handle approximately 4.2 million customer transactions per day across all geographies.",Neutral
"We test indefinite-lived intangible assets for impairment on an annual basis and when events indicate that the carrying value may not be recoverable.",Neutral
"Our risk management framework identifies, assesses, and mitigates key risks across strategic, operational, financial, and compliance dimensions.",Neutral
"The consolidated balance sheet reflects total assets of $42.1 billion, total liabilities of $28.7 billion, and total stockholders' equity of $13.4 billion.",Neutral
"We have entered into non-disclosure agreements with certain counterparties in connection with ongoing strategic discussions.",Neutral
"Our key operational metrics include units shipped, active users, average revenue per user, and customer satisfaction scores.",Neutral
"The Company's environmental liabilities are measured on a discounted basis where the timing of cash flows is reasonably estimable.",Neutral
"We operate a centralised treasury function responsible for managing liquidity, foreign exchange, and interest rate risk across the enterprise.",Neutral
"Our digital advertising revenue is recognised at the point in time at which the advertisement is displayed to the end user.",Neutral
"We report the results of our operations under five geographic segments: North America, Europe, Asia Pacific, Latin America, and Rest of World.",Neutral
"The Company's risk factors are described in detail in Item 1A of this Annual Report on Form 10-K.",Neutral
"Our contracts with customers typically contain warranties of between one and three years covering defects in materials and workmanship.",Neutral
"We have not identified any reportable segments that are individually material based on the quantitative thresholds established in ASC 280.",Neutral
"Our principal production facilities are located in Ohio, Germany, Malaysia, and Mexico.",Neutral
"The Company presents earnings per share on both a basic and diluted basis in accordance with ASC 260.",Neutral
"We account for stock options using the Black-Scholes option pricing model to estimate fair value at the grant date.",Neutral
"Our customer contracts in the software segment typically include a combination of licence fees, maintenance charges, and implementation services.",Neutral
"The Company's revenues are subject to seasonal variation, with the fourth calendar quarter typically representing our strongest quarter.",Neutral
"We measure the funded status of our defined benefit pension plans as the difference between the fair value of plan assets and the projected benefit obligation.",Neutral
"Our geographic footprint spans six continents, with operational presence in 47 countries.",Neutral
"Capital leases are recognised on the balance sheet as both an asset and a corresponding liability at amounts equal to the present value of the minimum lease payments.",Neutral
"We have entered into interest rate swap agreements to manage the fixed and floating rate mix of our long-term debt portfolio.",Neutral
"The Company's critical accounting policies and estimates are described in Management's Discussion and Analysis.",Neutral
"Our environmental expenditures for ongoing operations are expensed as incurred, while expenditures that extend the life or increase the capacity of assets are capitalised.",Neutral
"We present segment information in a manner consistent with the reports reviewed by our chief operating decision maker.",Neutral
"The Company's non-controlling interests represent the minority ownership stakes held by third parties in certain of our consolidated subsidiaries.",Neutral
